"SHA256","Copies","BytesPerFile","PotentialExtraBytesInGroup","AbsolutePath"
"6764BCEFAE2953FF151B24459B24BEB1E9AC6111BACCCF1AB37DDD54774014DB","2","2867502","2867502","D:\unity程序\tlfdj\Assets\OriginalContent\Texture2D\XiChuang_LinJian_01- Default_MetallicSmoothness_1.png"
"E84404E6083B930A9B4EDE4B69F6CE17284E80093BBDAF921B11AF64BD2C549B","2","2857816","2857816","D:\unity程序\tlfdj\Assets\OriginalContent\Texture2D\XiChuang_LinJian_01--Default_AlbedoTransparency01_0.png"
"E84404E6083B930A9B4EDE4B69F6CE17284E80093BBDAF921B11AF64BD2C549B","2","2857816","2857816","D:\unity程序\tlfdj\Assets\OriginalContent\Texture2D\XiChuang_LinJian_01--Default_AlbedoTransparency01_1.png"
"B05248AA03FCE268A9539961288119FDD10B2892540BC6B185ADFEDED2AAECCA","2","2817017","2817017","D:\unity程序\tlfdj\Assets\OriginalContent\Texture2D\JiaZiBuJian_09---Default_AlbedoTransparency_0.png"
"B05248AA03FCE268A9539961288119FDD10B2892540BC6B185ADFEDED2AAECCA","2","2817017","2817017","D:\unity程序\tlfdj\Assets\OriginalContent\Texture2D\JiaZiBuJian_09---Default_AlbedoTransparency_1.png"
"B3F0FFEA4BD2FCC82094E5D3C9C96A0529A5D3CABAA0E6AA49011130160EAE74","2","2645843","2645843","D:\unity程序\tlfdj\Assets\OriginalContent\Texture2D\ZHUANZ_01---Default_AlbedoTransparency_0.png"
"B3F0FFEA4BD2FCC82094E5D3C9C96A0529A5D3CABAA0E6AA49011130160EAE74","2","2645843","2645843","D:\unity程序\tlfdj\Assets\OriginalContent\Texture2D\ZHUANZ_01---Default_AlbedoTransparency_1.png"
"65177D7E562C91E8F9CC3D2F9C6BB9C904B149753E1085D4C567B316C88BE414","2","2582346","2582346","D:\unity程序\tlfdj\Assets\OriginalContent\Texture2D\sf_conc_floor_01_n_0.png"
"65177D7E562C91E8F9CC3D2F9C6BB9C904B149753E1085D4C567B316C88BE414","2","2582346","2582346","D:\unity程序\tlfdj\Assets\OriginalContent\Texture2D\sf_conc_floor_01_n_1.png"
"90C9EB93582AECA16000DAFAAAA0E6AC3A69E39D771F8620F53FE56948D86465","2","2577469","2577469","D:\unity程序\tlfdj\Assets\OriginalContent\Texture2D\jinshu02_1.png"
"90C9EB93582AECA16000DAFAAAA0E6AC3A69E39D771F8620F53FE56948D86465","2","2577469","2577469","D:\unity程序\tlfdj\Assets\OriginalContent\Texture2D\jinshu02_3.png"
"AE37BDB1FB3471F5CDE79148097CFB1BA6BD083AABD1874F277BE8C5AC3426FA","2","2380051","2380051","D:\unity程序\tlfdj\Assets\OriginalContent\Texture2D\JiaZiBuJian_09 - Default_Normal_0.png"
"AE37BDB1FB3471F5CDE79148097CFB1BA6BD083AABD1874F277BE8C5AC3426FA","2","2380051","2380051","D:\unity程序\tlfdj\Assets\OriginalContent\Texture2D\JiaZiBuJian_09 - Default_Normal_1.png"
"6FDE7553E5BE95311C8937E4E3FCE8EF8E9AA97D49A600D030DDF04837A51B3F","2","2218050","2218050","D:\unity程序\tlfdj\Assets\OriginalContent\Texture2D\JiaZi_01 - Default_Normal_0.png"
"6FDE7553E5BE95311C8937E4E3FCE8EF8E9AA97D49A600D030DDF04837A51B3F","2","2218050","2218050","D:\unity程序\tlfdj\Assets\OriginalContent\Texture2D\JiaZi_01 - Default_Normal_1.png"
"7A6812D09F4FBC6D2ECE866BAF044E06998BE3D6741A147B7BFDD5A73806C911","2","2070570","2070570","D:\unity程序\tlfdj\Assets\OriginalContent\Texture2D\Sifu_0.png"
"7A6812D09F4FBC6D2ECE866BAF044E06998BE3D6741A147B7BFDD5A73806C911","2","2070570","2070570","D:\unity程序\tlfdj\Assets\OriginalContent\Texture2D\Sifu_1.png"
"46034300407761EC43F85B305FE534CB0F7B6E2ECC58A761FB7AE51EA5EFC301","2","2048727","2048727","D:\unity程序\tlfdj\Assets\OriginalContent\Texture2D\JiaZiBuJian_01---Default_AlbedoTransparency_0.png"
"46034300407761EC43F85B305FE534CB0F7B6E2ECC58A761FB7AE51EA5EFC301","2","2048727","2048727","D:\unity程序\tlfdj\Assets\OriginalContent\Texture2D\JiaZiBuJian_01---Default_AlbedoTransparency_1.png"
"D44A6EEAC1E652096578CF5B73DB925EEF9DDD0850ADA44140F8A2DBB683C7B3","2","1900938","1900938","D:\unity程序\tlfdj\Assets\OriginalContent\Texture2D\JiaZiBuJian_04---Default_AlbedoTransparency_0.png"
"D44A6EEAC1E652096578CF5B73DB925EEF9DDD0850ADA44140F8A2DBB683C7B3","2","1900938","1900938","D:\unity程序\tlfdj\Assets\OriginalContent\Texture2D\JiaZiBuJian_04---Default_AlbedoTransparency_1.png"
"59BEB8B5D08307AB60CE5D0F32A20270A8FEC8EFD0A22BA476AA4D71F270713C","2","1858054","1858054","D:\unity程序\tlfdj\Assets\OriginalContent\Texture2D\JiaZi_01---Default_AlbedoTransparency_0.png"
"59BEB8B5D08307AB60CE5D0F32A20270A8FEC8EFD0A22BA476AA4D71F270713C","2","1858054","1858054","D:\unity程序\tlfdj\Assets\OriginalContent\Texture2D\JiaZi_01---Default_AlbedoTransparency_1.png"
"DFFCB9BDE443D274728418B9D112A4A953F38FC0CAF34911A16ED06C1881FDF1","4","600620","1801860","D:\unity程序\tlfdj\Assets\OriginalContent\Texture2D\JXZ_0.png"
"DFFCB9BDE443D274728418B9D112A4A953F38FC0CAF34911A16ED06C1881FDF1","4","600620","1801860","D:\unity程序\tlfdj\Assets\OriginalContent\Texture2D\JXZ_1.png"
"DFFCB9BDE443D274728418B9D112A4A953F38FC0CAF34911A16ED06C1881FDF1","4","600620","1801860","D:\unity程序\tlfdj\Assets\OriginalContent\Texture2D\JXZ_2.png"
"DFFCB9BDE443D274728418B9D112A4A953F38FC0CAF34911A16ED06C1881FDF1","4","600620","1801860","D:\unity程序\tlfdj\Assets\OriginalContent\Texture2D\JXZ_3.png"
"DDC6FAD6E5477288F8CA70E4754A34DC3C2BAA46A60065870EA38DD811963D10","2","1793839","1793839","D:\unity程序\tlfdj\Assets\OriginalContent\Texture2D\JiaZiBuJian_05---Default_AlbedoTransparency_0.png"
"DDC6FAD6E5477288F8CA70E4754A34DC3C2BAA46A60065870EA38DD811963D10","2","1793839","1793839","D:\unity程序\tlfdj\Assets\OriginalContent\Texture2D\JiaZiBuJian_05---Default_AlbedoTransparency_1.png"
"1CF9FC85F16D8AE750CE8FC2E0C61FD8F6356D01D336D977EEC037D75638CEBC","2","1616330","1616330","D:\unity程序\tlfdj\Assets\OriginalContent\Texture2D\JiaZi_01 - Default_MetallicSmoothness_0.png"
"1CF9FC85F16D8AE750CE8FC2E0C61FD8F6356D01D336D977EEC037D75638CEBC","2","1616330","1616330","D:\unity程序\tlfdj\Assets\OriginalContent\Texture2D\JiaZi_01 - Default_MetallicSmoothness_1.png"
"9936CA227F199695BA6316E2B1539915A36892EE21DCEC939FA271B714505028","2","1599430","1599430","D:\unity程序\tlfdj\Assets\OriginalContent\Texture2D\jinshu02_2.png"
"9936CA227F199695BA6316E2B1539915A36892EE21DCEC939FA271B714505028","2","1599430","1599430","D:\unity程序\tlfdj\Assets\OriginalContent\Texture2D\jinshu02_4.png"
"652FC7EB0AF3C4FEF6B4F3D5D8E8195A4540AB93CF132CC3FF0C420CD8CBDACF","2","1573798","1573798","D:\unity程序\tlfdj\Assets\OriginalContent\Texture2D\jinshu02_NRM_0.png"
"652FC7EB0AF3C4FEF6B4F3D5D8E8195A4540AB93CF132CC3FF0C420CD8CBDACF","2","1573798","1573798","D:\unity程序\tlfdj\Assets\OriginalContent\Texture2D\jinshu02_NRM_1.png"
"43B74ACEB72FFEF12230B3F49876269874A21A1FC98DFAA9AB178280B314FE2A","2","1367986","1367986","D:\unity程序\tlfdj\Assets\OriginalContent\Texture2D\dddd3_0.png"
"43B74ACEB72FFEF12230B3F49876269874A21A1FC98DFAA9AB178280B314FE2A","2","1367986","1367986","D:\unity程序\tlfdj\Assets\OriginalContent\Texture2D\dddd3_1.png"
"21DAFA9946C364E4F83F069A297D7BD48487E22DC5CFCE01314A38396959C314","2","1309145","1309145","D:\unity程序\tlfdj\Assets\OriginalContent\Texture2D\waterBump_1.png"
"21DAFA9946C364E4F83F069A297D7BD48487E22DC5CFCE01314A38396959C314","2","1309145","1309145","D:\unity程序\tlfdj\Assets\OriginalContent\Texture2D\waterBump_4.png"
"B53AEEF740F78AA65E8DCA1F0DEECB10FE434BC5BF43ECDEB78227C3FA18BA50","3","635562","1271124","D:\unity程序\tlfdj\Assets\OriginalContent\Texture2D\LiberationSans SDF Atlas_1.png"
"B53AEEF740F78AA65E8DCA1F0DEECB10FE434BC5BF43ECDEB78227C3FA18BA50","3","635562","1271124","D:\unity程序\tlfdj\Assets\OriginalContent\Texture2D\LiberationSans SDF Atlas_2.png"
"B53AEEF740F78AA65E8DCA1F0DEECB10FE434BC5BF43ECDEB78227C3FA18BA50","3","635562","1271124","D:\unity程序\tlfdj\Assets\OriginalContent\Texture2D\LiberationSans SDF Atlas_3.png"
"CC9F60038B27B5881B5655B2D31A51BF31CCA2BB22E65611595D308BE865B30F","3","633381","1266762","D:\unity程序\tlfdj\Assets\ElectricalSim\Resources\WaterRippleNormal.png"
"CC9F60038B27B5881B5655B2D31A51BF31CCA2BB22E65611595D308BE865B30F","3","633381","1266762","D:\unity程序\tlfdj\Assets\OriginalContent\Texture2D\WaterBump_2.png"
"CC9F60038B27B5881B5655B2D31A51BF31CCA2BB22E65611595D308BE865B30F","3","633381","1266762","D:\unity程序\tlfdj\Assets\OriginalContent\Texture2D\WaterBump_3.png"
"07DCE78FD9A1133C391055BABDD868C5A769B5262FBB1CE3B2F89545A52FE23D","2","928458","928458","D:\unity程序\tlfdj\Assets\OriginalContent\Mesh\ZhouDianJi10_0.asset"
